GENE.ID	cdc28_0	cdc28_10	cdc28_20	cdc28_30	cdc28_40	cdc28_50	cdc28_60	cdc28_70	cdc28_80	cdc28_90	cdc28_100	cdc28_110	cdc28_120	cdc28_130	cdc28_140	cdc28_150	cdc28_160
YOR104W	-1.05	-0.75	-0.47	-0.53	-0.5	-0.03	0.52	0.39	0.46	0.24	0.24	-0.17	0.1	0.41	0.17	0.5	0.64
YDR405W	-0.16	0.36	-0.03	-0.23	0.19	0.22	0.17	-0.25	-0.06	0.19	-0.21	-0.17	-0.24	-0.045	-0.18	0.39	0.02
YOR385W	0.88	-0.68	-1.01	0.08	-0.37	-0.15	0.65	0.67	0.18	0.19	-0.38	-0.18	-0.27	-0.49	-0.155	-0.16	1.04
YOL153C	0.82	-0.16	-0.47	-0.41	-0.25	-0.86	-0.59	-0.3	0.06	0.5	0.35	0.21	0.17	0.02	0.21	0.5	0.21
YOR009W	-0.42	0.48	0.45	0.42	0.12	-0.03	0.12	0.02	0.08	0.58	0.02	-1.1	-0.12	-0.2	0.02	-0.15	-0.25
YLR399C	-0.52	-0.37	-0.15	-0.35	0.11	-0.15	-0.07	-0.12	0.03	0.28	-0.07	0.06	0.22	-0.02	0.39	0.32	0.39
YHR168W	0.21	-0.05	-0.53	-0.4	-0.45	0.15	-0.18	-0.32	-0.01	0.22	0.26	0.08	0.35	0.14	0.21	0.12	0.21
YBR209W	-0.26	0.33	-1.67	-0.45	0.07	0.07	0.91	0.2	0.07	0.44	0.33	0.2	-1.26	-0.26	0.99	0.07	0.2
YBL097W	-1.01	-0.48	-0.41	-0.44	0.63	0.54	0.56	0.32	-0.01	-0.09	-0.21	-0.01	0.17	0.41	0.24	-0.34	0.14
YDR057W	-0.37	0.19	0.03	-0.06	-0.55	0.18	0.1	-0.67	0.06	0.03	-0.11	0.02	0.09	0.26	0.045	0.52	0.29
YML128C	1.32	0.75	-0.78	-0.98	-0.91	-0.73	-0.63	-0.25	-0.37	-0.17	0.38	0.27	0.31	0.26	0.58	0.53	0.41
YNR023W	-0.02	0.18	-0.22	-0.16	0.34	0.1	0.07	0.07	-0.25	-0.57	-0.28	0.45	-0.02	0.25	0.025	0.33	-0.28
YCR070W	0.19	-0.02	-0.31	-0.02	0.36	0.11	0.24	0.2	-0.03	-0.39	-0.01	-0.27	-0.04	-0.015	0.2	0.26	-0.47
YNL057W	-1.06	-1.11	-1.17	-0.99	-0.85	-0.18	0.74	0.71	1.06	0.78	0.47	0.5	0.28	0.16	0.68	0.28	0.28
YOR215C	-0.03	0.08	-0.54	-0.41	-0.14	-0.45	-0.28	-0.12	-0.17	0.36	0.35	0.36	-0.1	0.12	-0.065	0.6	0.37
YGR155W	-0.16	-0.05	-0.22	0.13	0.12	-0.26	0.01	-0.23	-0.1	0.46	0.12	-0.12	-0.28	-0.02	0.19	0.27	0.12
YAR042W	1.01	-0.38	-0.5	0.44	-0.76	-2.08	0.01	-0.27	0.38	0.62	0.92	0.5	0.01	0.87	0.31	-1.08	0.01
YMR116C	-0.69	0.22	0.27	0.24	0.58	-0.14	-0.22	-0.52	-0.02	1.6	-2.96	0.34	-0.09	0.1	-0.27	1.01	0.55
YLR405W	-0.49	-0.06	-0.44	-0.42	-0.07	0.02	-0.04	0.69	0.38	0.32	-0.58	-0.04	-0.03	0.52	0.24	-0.04	-0.04
YGL262W	1.1	0.65	1.12	0.6	-0.91	-0.84	-0.33	-0.11	-0.11	-0.07	0.32	0.16	-0.24	-0.48	0.01	-0.43	-0.43
YOL060C	0.68	-0.56	-0.56	-0.07	-0.26	0.16	0.11	0.3	0.3	0.13	-0.14	-0.11	0.22	-0.12	0.02	-0.21	0.11
YDR525W	-0.58	0.34	0.04	0.21	0.01	-0.32	-1.37	-0.23	-1.37	0.83	-0.19	0.21	-0.63	0.97	0.39	0.85	0.85
YOL121C	-0.04	0.17	0.39	0.01	0.21	-0.37	-0.37	-0.16	-0.31	-1.82	0.74	0.05	-0.23	0.31	0.23	0.66	0.54
YIL127C	-0.11	0.27	0.31	0.08	0.22	0.37	0.12	0.04	-0.05	-0.16	-0.41	-0.19	-0.03	-0.025	-0.12	-0.02	-0.32
YGR207C	0.15	-0.23	-0.65	-0.12	0.2	0.1	0.27	-0.21	0.23	0.11	0.03	0.22	-0.26	-0.14	0.3	0.1	0.1
YPL036W	1.04	1.09	-0.18	-0.6	-1.45	-0.31	0.82	-1.18	-0.07	0.14	-0.45	0.75	0.4	-0.07	-0.07	-0.07	-0.07
YIL084C	0.05	-0.02	-0.6	0.05	-0.04	-0.02	0.13	0.33	0.33	-0.54	-0.06	-0.06	0.07	0.33	0.4	-0.23	-0.09
YMR269W	-0.57	0.25	-0.31	-0.43	0.01	-0.33	-0.03	-0.15	0.22	0.67	-0.02	0	-0.11	0.26	-0.01	0.45	0.07
YBR241C	0.9	0.25	0	0.16	-0.32	-0.22	-0.44	-0.32	-0.44	0.34	-0.17	0.21	0.02	0.34	0.02	0.18	-0.52
YDL136W	-0.13	0.2	0.2	0.11	0.52	-0.5	0.01	0.03	-0.37	0.155	-2.64	0.32	-0.44	0.54	0.79	0.52	0.83
YEL076C-A	0.01	-0.12	0.35	0.39	0.03	-0.09	-1.21	0.14	-0.08	-0.33	0.19	0.24	0.86	-0.4	-0.45	0.09	0.38
YOR061W	-0.43	0.25	-0.15	0.05	0.15	0.2	0.3	-0.01	0.05	-0.23	-0.03	-0.05	0.03	0.01	-0.1	0.1	-0.12
YJL032W	0.16	-0.37	-0.42	-0.17	-0.38	-0.01	-0.16	-0.24	0.3	-0.04	0.12	0.17	0.32	0.36	0.055	0.17	0.19
YDR314C	-0.23	-0.55	-0.48	-1.41	-0.12	0.77	0.8	0.26	0.13	-1.06	-0.17	-0.12	0.3	0.62	0.41	0.41	0.41
YCR047C	-0.66	0.81	1.21	0.54	0.02	0.16	0.47	0.11	-0.26	-0.36	-0.36	-0.37	-0.17	-0.23	-0.2	-0.27	-0.64
YBR254C	-0.22	0.19	-0.08	0.02	-0.15	0	0	0.14	-0.08	-0.08	-0.31	-0.23	-0.01	0.22	-0.005	0.52	0.07
YJR097W	0.06	0.47	0.12	0.22	0.39	-0.01	0.27	0.29	0.12	-0.37	-0.42	-0.01	-0.21	-0.1	0.025	-0.32	-0.49
YML032C	-0.44	-0.31	-0.31	0.26	-0.08	0.07	-0.04	0	0	0.21	0.27	0.08	0.14	0.01	0.29	0.02	-0.14
YIL167W	0.72	-0.15	-1	-1.23	-1.07	-0.32	-0.05	0.34	0.67	0.31	0.19	0.09	-0.01	0.13	0.46	0.25	0.66
YER010C	0.39	0.45	0.47	0.26	0.08	-0.23	-0.55	-0.24	-0.35	-0.45	-0.47	0.09	0.11	0.28	0.085	0.2	-0.04
YGR049W	0.2	-0.43	0.22	0.07	0.09	-0.25	-0.23	-0.33	-0.19	0.53	0.17	-0.13	0.06	0.065	-0.04	0.13	0.11
YNL149C	-0.48	-0.01	-0.04	-0.36	0.3	-0.44	-0.07	-0.1	-0.33	0.5	0.07	-0.025	-0.26	0.24	0.16	0.71	0.12
YMR296C	-0.04	0.19	0.27	0.3	-0.09	-0.33	-0.12	-0.23	-0.05	0.41	0.21	0.14	0.05	-0.045	-0.13	-0.24	-0.32
YPL040C	0.2	-0.2	-0.34	-0.11	-0.11	0.08	-0.24	0.08	0.05	0.11	0.04	-0.22	0.24	-0.13	0.11	0.1	0.35
YAL015C	0.26	0.3	0.07	-0.5	0	-0.4	0.2	0.21	-0.11	0.46	-0.19	-0.08	0.04	-0.22	0.02	-0.07	0.05
YLR154C	-0.25	-0.26	0.61	0.55	0.33	0.09	-0.09	-0.3	-0.57	0.07	0.29	0.14	0.025	0.07	-0.02	-0.33	-0.32
YPR049C	0.74	-0.21	-0.31	-0.15	-0.8	-0.49	-0.42	-1.24	0.58	0.05	0.55	0.81	0.34	0.25	0.05	-0.06	0.3
YJR010W	-0.58	-1.66	-0.69	0.83	1.95	2.09	0.7	0.02	-0.61	-1.39	-0.42	-0.29	0.17	-0.1	-0.1	-0.1	0.1
YDL090C	-0.84	-0.65	0.1	-0.15	-0.31	-0.1	0.07	0.06	0.2	-0.16	0.46	0.26	0.16	0.27	0.075	0.55	0.08
YPL024W	-0.09	0.4	0.68	0.54	0.4	0.14	0.08	0.14	0.15	0.2	-0.08	-0.48	-0.51	-0.6	0.11	-0.69	-0.27
YCR024C	0.72	-0.66	-0.98	-0.08	-0.07	0.09	0.15	0.08	0.39	-0.36	0.03	0.17	0.36	-0.12	0.29	0.08	0.08
YOR266W	-0.15	0.1	-0.33	-0.33	-0.19	-0.19	0.05	0.01	0.06	-0.03	0.24	0.2	-0.06	0.03	0.18	0.08	0.36
YML080W	-0.32	0.77	-0.08	0.32	0.16	0.11	0.25	0.49	-0.06	-0.24	-0.35	-0.37	-0.28	0.04	-0.07	-0.09	-0.35
YJL078C	-0.2	0.09	-0.49	-0.16	-0.18	-0.03	-0.51	-0.65	-0.31	0.68	1.11	0.79	0.78	-0.03	-0.34	-0.4	-0.14
YGL166W	0.91	-0.06	0.17	0.7	-0.01	-0.06	0.13	-0.19	0.04	-0.03	-0.23	-0.18	-0.41	-0.47	-0.06	-0.18	-0.13
YFL001W	-0.2	0.74	0.27	0.08	0.12	-0.04	-0.5	-0.04	-0.05	-0.1	-0.32	-0.12	-0.03	0.08	-0.04	0.18	-0.08
YHR202W	1.07	-0.01	-0.65	-0.18	-0.08	-0.18	-0.2	-0.16	-0.09	-0.27	-0.38	-0.34	0.3	0.38	0.2	0.32	0.28
YAL016W	-0.53	-0.1	0.04	-0.05	0.01	-0.19	0.54	0.05	-0.25	0.44	-0.05	0.05	-0.05	-0.05	0.31	-0.08	-0.19
YFL029C	0.48	0.08	-0.1	0.3	-0.27	-0.32	0.07	0.18	0.01	0.09	-0.09	-0.01	-0.42	0.025	0.04	0.14	-0.19
YPR165W	-0.28	-0.26	0.26	-0.07	0.01	-0.38	-0.17	-0.28	-0.32	0.79	0.27	-0.03	-0.39	0.12	0.2	0.43	0.08
YCL069W	-0.48	0.28	-0.23	-0.02	-0.77	0.23	0.23	0.23	0.17	0.28	0.05	-0.02	-0.08	0.23	0.28	0.11	-0.48
YDL233W	0.27	-0.44	-0.29	-0.06	0.53	-0.11	0.34	0.27	0.3	-0.06	0.13	0.04	-0.29	-0.36	-0.08	-0.39	0.2
YDR177W	-0.05	-0.25	-0.26	-0.04	0.11	-0.17	-0.06	-0.12	-0.16	0.36	0.2	-0.045	-0.37	0.09	0.16	0.21	0.35
YPL004C	-0.04	-1.24	-1.53	-0.7	-0.38	-0.28	-0.43	-0.17	0.45	1.08	0.64	0.59	0.31	0.19	0.075	0.69	0.82
YGL101W	-0.97	-0.52	-0.62	0.12	0.18	0.22	0.54	0.17	-0.04	-0.72	-0.24	0.17	0.45	0.64	0.145	0.61	0.01
YHR139C	0.88	0.24	-0.35	0.46	0.46	0.53	0.32	0.16	-0.35	-1.93	-0.93	-0.93	0.53	0.24	0.53	-0.02	0.16
YJL132W	0.14	-0.98	-1.04	0.09	-0.06	0.22	0.28	0.3	0.54	-0.29	0.38	0.32	0.19	0.02	0.02	0.14	0.14
YDL238C	1.17	-0.15	-0.73	-0.09	-0.21	-0.09	-1.15	-0.15	-0.15	-0.15	0.55	0.17	0.62	0.12	0.17	0.02	0.02
YGL160W	0.27	-0.45	-0.12	-0.24	-0.13	-0.17	-0.48	-0.22	0.11	0.08	0.13	0.31	0.86	0.24	-0.18	-0.12	-0.12
YHR025W	-0.16	-0.26	-0.06	0.14	0.19	0.07	0.16	-0.15	-0.08	0.42	0.07	-0.06	-0.22	-0.025	0.01	0.01	-0.06
YJL057C	0.79	-0.21	-0.36	-0.18	-0.25	0.13	0.02	-0.14	0.07	-0.21	-0.04	0.15	0.15	0	0.07	0	0
YLL061W	-0.6	-0.46	-0.04	1.14	1.58	0.77	-0.21	-0.58	-0.23	-0.21	-0.71	-0.27	0.08	-0.6	-0.32	0.23	0.43
YER105C	-0.43	0.33	0	-0.64	0.23	0.11	-0.65	0.07	0.13	0.02	0.04	0.25	0.4	0.055	-0.06	0.25	-0.07
YOR148C	-0.11	0.36	0.13	-0.08	0.12	-0.3	-0.21	-0.28	-0.03	-0.12	0.02	0.34	-0.17	-0.005	0.14	0.04	0.14
YOR192C	0.48	-0.07	0.23	-0.18	-0.52	0.14	0.4	0.32	0.19	0.09	-0.01	-0.6	0.14	-0.07	-0.68	-0.12	0.23
YLR133W	0.94	-0.32	-2.43	-1.08	-0.47	0.18	-0.24	-0.47	0.53	0.15	0.94	0.44	0.42	0.49	0.66	0.23	0.04
YKL015W	-0.72	0.1	-0.33	-0.16	0.06	0.12	-0.06	-0.45	0.3	-0.01	-0.07	0.05	0.15	0.055	0.28	0.31	0.41
YGL256W	0.32	0.12	0.31	0.2	0	0.05	0.06	-0.1	-0.14	-0.18	-0.31	-0.22	0.09	0.025	-0.22	0.1	-0.06
YJR122W	0.62	0	-0.77	-0.52	-0.07	-0.52	-0.4	-0.18	0.18	0	0.11	0.49	0.47	0.38	0.22	0	0
YOL101C	-0.695	3.2	3.34	2.41	0.62	-0.05	-0.43	-0.34	-0.65	-1.39	-1.1	-0.76	-0.96	-0.83	-0.9	-1.43	-0.74
YFR030W	-0.49	-0.74	-0.58	0.46	1.5	1.07	0.16	-0.38	-0.56	-0.26	-0.49	-0.42	0.25	-0.11	0.04	0.19	0.24
YCL017C	-0.52	0.03	-0.02	-0.25	-0.45	-0.23	0	-0.1	-0.15	0.51	0.23	-0.06	0.05	-0.01	0.29	0.5	0.17
YGR233C	-0.41	0.2	0.01	-0.13	-0.12	-0.2	0.16	0.2	0.13	0.46	0.1	0.03	-0.09	0.02	0.05	-0.19	-0.2
YCR084C	-0.48	0.06	-0.01	0.31	0.37	0.27	0.35	0.31	-0.19	-0.18	-0.27	-0.23	0.15	0.025	0.18	-0.24	-0.41
YPL025C	-0.95	-1.3	0	0.83	0.41	0.6	0.33	-0.17	0.1	-0.11	0	0.37	-0.37	-0.06	-0.17	0.41	0.1
YCL068C	0.78	0.3	-0.31	-0.02	0.08	-0.31	-1.51	0.49	0.53	-0.92	0.3	-0.31	0.42	-0.13	-0.08	-0.02	0.72
YGL114W	0.11	0.17	-0.04	-0.24	-0.37	-0.2	0.21	0.3	0.34	-0.07	-0.13	-0.22	-0.26	-0.01	0.2	0.23	-0.01
YOR311C	-0.56	-0.23	-0.69	-0.44	-0.33	-0.03	-0.18	-0.05	0.23	-0.16	0.35	0.13	0.47	0.57	-0.04	0.42	0.48
YOR191W	-0.17	-0.39	-0.47	-0.25	0.38	0.41	0.33	0.33	0.03	-0.28	0.08	-0.52	0.39	0.3	0.18	-0.56	0.22
YAL009W	0.39	-0.87	-0.13	-0.71	0.2	-0.73	0.28	0.25	0.1	0.06	0.18	0.5	0.33	0.06	0.14	-0.35	0.44
YLR020C	-0.25	-0.11	0.41	0.24	-0.14	-0.39	-0.19	-0.15	0.05	-0.08	0.15	0.16	0.17	-0.14	-0.015	0.08	0.18
YLR428C	-0.14	-0.37	0.01	0.21	-0.33	0.05	0.28	0.73	-0.22	-0.81	0.13	0.36	0.24	-0.13	-0.01	0.01	0.01
YDR482C	-0.3	-0.19	-0.42	-0.04	0.36	0.2	0.01	0.22	0.07	0.39	0.06	-0.04	-0.67	-0.01	0.015	0.02	0.34
YGR194C	0.25	-0.76	-1.07	0.01	-0.16	-0.42	-0.29	-0.34	0.26	0.27	0.24	0.27	0.31	0.5	0.45	0.26	0.47
YNL230C	1.14	0.91	0.23	-0.23	0.21	-0.28	0.28	-0.13	0.21	-0.53	-0.11	-0.05	0.1	-0.21	-0.35	-0.69	-0.51
YDR015C	1.55	1.17	0.43	0.17	0.55	-0.57	0.31	-0.34	-0.34	-0.34	0.01	0.01	0.01	-2.15	0.55	-0.83	-0.15
YGR051C	-0.36	-0.32	0.2	0.58	0.58	0.2	0.25	0.35	0.2	-0.58	-0.07	-0.21	-0.21	-0.04	0.17	-0.28	-0.44
YCL034W	-0.11	-0.9	-0.54	0.02	0.7	-0.02	-0.02	0.03	-0.11	0.07	-0.05	0.2	0.21	0.21	0.025	0.06	0.24
YDR283C	-0.41	0.03	-0.51	-0.05	0.2	0.44	-0.13	0.19	0.44	-0.09	0.14	0.11	0.05	0.01	-0.17	-0.22	-0.01
YPL246C	0.23	-0.11	0.13	0.11	-0.74	-0.01	-0.21	0	0.16	0.53	-0.08	-0.59	0.02	0.14	0.05	0.08	0.32
YER066C-A	0.39	0.24	-1.35	-0.35	-0.12	-0.61	-1.93	0.24	0.24	0.24	0.39	0.24	0.77	0.77	-0.12	0.53	1.16
YMR030W	0.61	0.58	0.55	0.37	-0.42	-0.03	-0.13	-0.93	-0.05	0.23	0.48	-0.06	-0.26	-0.66	-0.29	-0.05	-0.05
YDR076W	0.24	0.33	-0.02	0.22	0.03	0.16	-0.28	0.34	0.28	-0.86	-0.37	-0.18	0.09	0.06	0	0.1	-0.07
YDL167C	-0.61	0.55	0.42	0.02	-0.25	0.19	0.4	-0.07	-0.11	-0.37	-0.28	-0.42	-0.02	-0.045	0.17	0.45	-0.07
YFR021W	0.62	-0.38	0.26	0.65	-0.15	-0.1	-0.38	-0.15	0.18	0.62	0.22	0.18	0.09	-0.32	-0.66	0.05	-0.74
YIR014W	0.63	-0.93	-0.76	-0.4	-0.53	0.12	-0.28	-0.22	0.32	0.57	-0.07	0.12	0.43	0.43	0.28	0.2	0.07
YOL155C	-1.26	-1.39	-0.06	0.89	0.59	0.72	0.59	0.28	-0.27	0.42	0.63	0.12	0.37	0.01	0.2	-0.73	-0.88
YFR025C	0.18	0.32	-0.32	-0.52	0.05	0.07	-0.55	-0.11	0.09	-1.13	-0.24	0.2	0.46	0.48	0.08	0.53	0.48
YDR327W	-0.55	0.02	0.27	-0.19	-0.09	-0.24	-0.1	-0.59	-0.44	0.53	0	-0.04	-0.35	-0.065	0.43	0.9	0.44
YIL066C	0.69	0.12	0.16	0.26	0.12	0.49	-0.01	-0.19	-0.01	-0.04	0.01	0.1	-0.21	-0.35	-0.11	-0.48	-0.54
YEL075C	0.21	0.34	0.32	-0.01	0.29	-0.39	0.29	0.61	0.08	-0.11	0.23	-0.2	-0.34	-0.27	-0.18	-0.56	-0.29
YOR330C	-0.45	-0.4	-0.16	0.15	0.45	0.61	0.4	0.38	0.07	0.04	-0.34	-0.04	0.18	-1.2	0.07	0.23	0.07
YJL104W	-0.31	0.13	-0.25	-0.41	0.02	-0.13	-0.29	0.43	0.16	-0.18	0.03	0.02	-0.02	0.27	0.02	0.21	0.34
YCR020C	0.59	0.59	0.25	0.18	-0.72	-0.12	0.07	0.1	0.23	-0.05	-0.18	-0.23	-0.03	-0.25	0.16	-0.12	-0.45
YOR319W	-0.08	-0.07	-0.13	-0.15	0.06	0.18	0.06	0.34	0.07	-0.34	-0.36	-0.05	-0.13	0.005	0.07	0.21	0.32
YEL069C	0.3	-0.18	-0.92	0.82	0.08	-0.92	-2.5	0.67	0.5	0.67	0.3	0.3	0.08	0.3	0.3	0.67	-0.18
YIL014W	0.28	0.18	-0.25	-0.37	0.27	0.36	0.34	0.19	0.03	-0.06	-0.19	-0.23	-0.08	-0.08	-0.07	-0.23	-0.17
YGR218W	0.04	-0.1	-0.24	-0.14	0	0.17	0.2	-0.08	0.27	0.05	0.25	0.15	-0.13	0.02	0.05	-0.16	-0.34
YBR112C	-0.6	-0.36	-0.08	-0.02	0.8	0.19	-0.06	0.38	-0.08	0.11	0.04	0.21	0.16	-0.04	-0.23	-0.33	-0.1
YOR268C	1.13	0.6	0.42	0.35	0.13	-0.04	0.13	0.35	-0.46	0.6	-0.23	0.05	-0.58	-0.23	-1.46	-0.72	-0.04
YGL184C	0.09	-0.06	0.24	1.98	2.09	1.27	-0.41	-1.18	-1.32	-0.95	-1.25	-0.79	-0.02	-0.12	-0.28	0.04	0.65
YKL019W	0.21	0.28	0.24	0.08	-0.33	-0.36	-0.51	0.11	0.36	-0.53	-0.31	0.14	0.13	0.12	0.06	0.2	0.23
YDR488C	-0.87	-0.14	0.4	0.68	-0.2	0.18	-0.32	-1.03	-0.22	-0.08	0.34	0.64	0.6	0.43	-0.43	-0.08	-0.08
YNL178W	-0.25	-0.26	0.21	-0.09	0.15	-0.57	-0.33	-0.42	-0.6	1.33	0.52	-0.075	-0.32	0.16	-0.06	0.35	0.19
YDL105W	0.23	-0.15	0.85	0.16	0.26	-0.34	-0.4	-0.47	-0.68	0.91	0.7	0.68	-0.04	-0.29	-0.5	-0.8	-0.11
YJL221C	1.12	0.16	0.04	0.21	0.4	0	0.01	0.22	0.41	-1.75	-1.19	-0.04	0.05	0.09	0.19	0.08	0.1
YFR048W	0.39	0.09	-0.04	0.27	0.21	0.14	0.26	0.23	-0.22	-0.05	-0.27	-0.54	-0.33	-0.05	-0.22	-0.03	0.16
YIL005W	0.02	-0.18	-0.3	-0.22	-0.12	-0.38	-0.12	0.2	0.35	0.23	0.28	-0.01	-0.08	0.33	-0.015	-0.02	0.02
YGL022W	-1.05	-0.33	0.1	-0.01	0.19	0.35	0.22	0.17	-0.03	-0.21	0.07	0.32	0.24	0.085	-0.02	0.17	-0.17
YEL053C	-1.22	0.45	0.05	-0.55	0.18	-0.24	0	0.25	0.33	0.03	-0.17	0.22	0.06	0.17	0.055	0.51	-0.07
YJR001W	-0.81	-0.51	-0.07	0.21	0.17	0.08	-0.09	-0.28	0.26	-0.09	0.23	0.41	0.32	0.3	0.1	0.12	-0.26
YDR162C	0.04	-0.45	-0.11	0.03	-0.01	-0.07	0.03	0.06	0	0.09	0.17	0.28	-0.16	0.015	-0.02	-0.33	0.43
YPL122C	0.01	0.14	0.56	0.25	-0.16	0.09	0.03	0.18	-0.15	-0.24	-0.19	-0.02	-0.15	-0.27	-0.005	0.12	-0.21
YDR298C	-0.42	-0.22	-0.52	-0.05	-0.21	0.27	-0.08	-0.33	0.12	0.12	0.08	0.08	-0.2	0.015	0.32	0.45	0.59
YDR222W	0.33	0.41	0.12	0.5	-0.28	0.4	-0.28	-0.23	-0.04	-0.34	-0.34	-0.1	0.09	0.08	-0.01	-0.06	-0.25
YHR057C	0.03	0.06	0.05	-0.11	-0.09	0.07	0.08	-0.04	0.07	0.12	-0.07	0.06	-0.14	0.04	0.06	-0.02	-0.14
YOR267C	0.07	-0.24	-0.15	-0.19	0.44	0.42	0.32	0.15	-0.4	0.19	-0.27	0.18	-0.4	-0.42	-0.025	0.43	-0.12
YAR062W	0.68	-1.08	-0.19	0.22	0.13	-0.46	-0.08	0.08	-0.19	-0.25	-0.13	0.31	0.61	0.13	0.22	0.08	0.08
YMR204C	-0.97	-0.63	-0.31	0.23	-0.52	0.27	0.47	0.18	0.17	0.04	-0.17	-0.18	0.22	0.44	0.32	0.31	0.11
YCR028C	0.31	0.14	-0.21	0.08	-0.07	0.22	-0.11	0.63	0.34	-0.32	-0.13	-0.11	0.31	-0.21	-0.26	-0.55	-0.09
YKL200C	0.03	-0.35	0.11	0.49	0.44	0.42	0.29	0.49	0.08	-0.73	-0.53	-0.13	0.23	0.18	-0.31	-0.19	-0.53
YPR021C	0.44	0.3	0.09	-0.18	-0.16	0.04	-0.18	-0.21	-0.12	0.1	-0.16	0.12	-0.17	-0.22	-0.04	0.22	0.09
YBL034C	-0.48	0.04	0.71	0.13	0.37	0.52	0.2	0.09	-0.34	-0.26	-0.03	0	0.29	0.02	-0.36	-0.28	-0.6
