classa	classb	classc	des_id	pathway_id
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00162	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00627	ko00020
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K01810	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00036	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K01057	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00033	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K01783	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00615	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00616	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K01807	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00852	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K01835	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00948	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00131	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00851	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K01623	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K03841	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00850	ko00030
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:osa00030]	K00895	ko00030
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K01051	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K01728	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K01184	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K01213	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K16190	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K12447	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K00012	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K00963	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K00002	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K01783	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K00854	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K01805	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K00008	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K00875	ko00040
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:osa00040]	K22935	ko00040
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K19355	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K00847	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K01809	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K17497	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K00966	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K01711	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K02377	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K18447	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K00844	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K00850	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K00895	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K03841	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K01103	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K00008	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K01805	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K01623	ko00051
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:osa00051]	K01803	ko00051
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K01785	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K00965	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K01784	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K00963	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K01835	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K00844	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K01190	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K12309	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K12447	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K18819	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K06617	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K07407	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K00850	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K01193	ko00052
Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:osa00052]	K01187	ko00052
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00012	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K12447	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K16190	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00469	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00002	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00103	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K10046	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K14190	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K10047	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K18649	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K17744	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00225	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K08679	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K08232	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00434	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K21888	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00423	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K00128	ko00053
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:osa00053]	K14085	ko00053
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01193	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00696	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K07024	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00695	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01187	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00963	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01513	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K19891	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K19892	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K19893	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01188	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K05349	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K05350	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01179	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00975	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K18447	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00703	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K13679	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00700	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00688	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01176	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01177	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00705	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01214	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01087	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K16055	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01194	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01835	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00844	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K01810	ko00500
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:osa00500]	K00847	ko00500
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01183	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K20547	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K12373	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00844	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00847	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00820	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00621	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01836	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K18674	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00972	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00326	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K12446	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K12447	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K13379	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01209	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K16190	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K08678	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K12449	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00770	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K15920	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K12448	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01835	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00963	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K12450	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K12451	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00012	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K06118	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00965	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01784	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K08679	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K18677	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K13648	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01810	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01809	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K17497	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00966	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K01711	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K02377	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K10046	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K25314	ko00520
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:osa00520]	K00975	ko00520
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01895	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01913	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00161	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00162	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00627	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00382	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00001	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00121	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K18857	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00002	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00873	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K11262	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01512	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00128	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K14085	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00016	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00102	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01759	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01069	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K18881	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00028	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00029	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00025	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00026	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00051	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01679	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01595	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01610	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01006	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01638	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K00626	ko00620
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:osa00620]	K01649	ko00620
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01637	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01895	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01913	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01638	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00025	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00026	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01647	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01681	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00626	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K11517	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K03781	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K15919	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K18121	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K15893	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K19269	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01601	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01602	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00830	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K14272	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00284	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K01915	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00600	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00281	ko00630
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:osa00630]	K00605	ko00630
